,comunidad_1
1382,138722695
1383,1572900254
1384,1163658378733858822
1385,132638001
1386,1259851746039529473
1387,165109542
1388,1064390469302591488
1389,611350464
1390,39254933
1391,179112456
1392,721329300
1393,828160566669803520
1394,2582240136
1395,858739181031501826
1396,2280823302
1397,748980771931709440
1398,183205408
1399,134190755
1400,152049218
1401,974076606
1402,571395543
1403,2668381278
1404,1059148646
1405,836122659972853760
1406,36469849
1407,4798780738
1408,470839643
1409,1241058380476755970
1410,1165050368432193537
1411,1209142219237556229
1412,2767329246
1413,145389084
1414,491687252
1415,329373627
1416,2865879108
1417,1240977900679110658
1418,809020516312944640
1419,136434182
1420,176018500
1421,136503259
1422,737061790870327296
1423,1094739504806719488
1424,964459528581517312
1425,163320155
1426,2319405038
1427,149519051
1428,1087013593357451264
1429,1052497820706623488
1430,932755838
1431,460289140
1432,3475949657
1433,209109161
1434,14541101
1435,1210542591072178177
1436,2593609794
1437,110184114
1438,148979411
1439,2907117886
1440,1357967540639719424
1441,352020016
1442,106502690
1443,574714602
1444,1179811472110706688
1445,160243624
1446,35169194
1447,138214410
1448,717254809
1449,159143152
1450,1152978724456996864
1451,187977599
1452,716826695
1453,1026140876836356097
1454,212967132
1455,1207722033309782023
1456,13158772
1457,275852462
1458,2939710983
1459,451856467
1460,1121049199313924096
1461,2338452385
1462,2358111823
1463,425135557
1464,161244198
1465,745778460
1466,146633794
1467,1333555998511034368
1468,187355261
1469,765749551
1470,196388574
1471,1240040231681830914
1472,2676551710
1473,280248748
1474,2267756708
1475,721561134
1476,1105308265636868096
1477,3308797101
1478,936371950783549441
1479,196434595
1480,773127342818463744
1481,1035574730777157633
1482,3873516383
1483,1096101523
1484,951491449538871296
1485,271199996
1486,1321180350643658753
1487,1107331799154413574
1488,541885411
1489,94322337
1490,68551123
1491,1361482571142598658
1492,853530721
1493,1918342680
1494,3308370502
1495,1312619638635802624
1496,3106374298
1497,308697078
1498,1061644077853261826
1499,730899477654081537
1500,788143327694688256
1501,719200065
1502,184309696
1503,1248447444666462213
1504,1089549398
1505,363836113
1506,917769468381671425
1507,4204720295
1508,2633419573
1509,180184306
1510,1367978422958518279
1511,178061564
1512,1674446316
1513,109624142
1514,888380629888495619
1515,196791855
1516,1109555465766293505
1517,1308533379659427840
1518,187345223
1519,1155763188
1520,194383573
1521,117183228
1522,4540141155
1523,3091346567
1524,1044174843774676993
1525,120392199
1526,254647987
1527,4193307977
1528,254858848
1529,123009996
1530,1242844953488830464
1531,2878334116
1532,792049332090445824
1533,1415659434
1534,1299476232271261696
1535,1323437986982305796
1536,938780113730260992
1537,37094608
1538,1146803611088883712
1539,1317020288
1540,899050675165962240
1541,2930013593
1542,547109656
1543,91620302
1544,195863904
1545,316946162
1546,155039847
1547,451080067
1548,803716209556541440
1549,113460455
1550,2523065834
1551,283221097
1552,147352386
1553,1149036545720147968
1554,394821710
1555,349320322
1556,1170950023
1557,178971328
1558,242328459
1559,706244118
1560,434268915
1561,2740605262
1562,839485135900839937
1563,522403529
1564,259247559
1565,3830201955
1566,838264898190598144
1567,1015444266842288128
1568,1355363725
1569,423756071
1570,1228881724463046656
1571,1265072086013403136
1572,136458082
1573,42434329
1574,1096660215670456320
1575,118723132
1576,1321075952
1577,1090279929542070272
1578,945883755754991618
1579,2707560671
1580,1207648447123333120
1581,1074800809
1582,66210111
1583,1569522032
1584,1032422459662786561
1585,318119740
1586,87055027
1587,778104787510431744
1588,747740004265369600
1589,911517085
1590,849332336
1591,3919866160
1592,16851953
1593,969293831056355328
1594,263546448
1595,119453155
1596,127100581
1597,60439734
1598,1145676349853577216
1599,207314531
1600,146165555
1601,1253809587544875010
1602,465067943
1603,2481003715
1604,2867745235
1605,284014925
1606,1281379175300046848
1607,1372614950
1608,150820020
1609,36001888
1610,184823088
1611,842581637514846208
1612,2784323303
1613,166321284
1614,154675928
1615,248368134
1616,2389817672
1617,123737609
1618,1421735412
1619,281871876
1620,150386037
1621,738805760931549184
1622,208976888
1623,806554621116350465
1624,1928933628
1625,1220151193
1626,2861752425
1627,1080962852926746625
1628,1925291216
1629,1345661509
1630,398475210
1631,780623244
1632,2782436321
1633,3234235424
1634,1295009477364715520
1635,281228380
1636,378328860
1637,703034535177535488
1638,830420891091759105
1639,1722597798
1640,1089676435940392960
1641,163231176
1642,1242705797244649472
1643,108972859
1644,175019685
1645,297688777
1646,36294697
1647,1257215509692649472
1648,579068492
1649,1160893964205088769
1650,457748872
1651,723511081298214912
1652,1232137041820950528
1653,369020457
1654,1034167758
1655,2214937440
1656,35760595
1657,172920587
1658,789564989258493952
1659,102122709
1660,1154405372
1661,1290669399838425090
1662,365802932
1663,4143186933
1664,2704611734
1665,183270178
1666,189353336
1667,754126138272776194
1668,205498485
1669,814817697846464513
1670,4825231918
1671,128013208
1672,153241267
1673,79258451
1674,185011973
1675,2836414883
1676,711339485959757824
1677,727296065926496265
1678,2305739503
1679,374016545
1680,1331653573151698954
1681,206869571
1682,1224796846633181184
1683,2644056245
1684,744345694916468736
1685,75928573
1686,957455883679813634
1687,351789146
1688,1708842553
1689,1367479191600566272
1690,739259737448009729
1691,1360492032
1692,70687371
1693,1002562830145597440
1694,3845639003
1695,1014877790569672706
1696,1350930032751992839
1697,1161798202389123079
1698,142510095
1699,1202761471240916992
1700,69059107
1701,525538686
1702,141655625
1703,1233770238547759107
1704,476855826
1705,479031937
1706,1186646619833491456
1707,2478932743
1708,183710995
1709,1299160691836940290
1710,1358273048747589633
1711,1072141208447791115
1712,956492476289863680
1713,1029003349591564289
1714,173939496
1715,586915496
1716,181227132
1717,3642882136
1718,1070758430338621441
1719,1001192865895153664
1720,282527853
1721,985275875007651840
1722,1231973315306192896
1723,2874156523
1724,276210761
1725,3050663625
1726,212810052
1727,383864423
1728,165939472
1729,1579394118
1730,147064348
1731,532340999
1732,1203352441913270272
1733,974194712
1734,2803807374
1735,89161900
1736,1642171645
1737,1156756891428671489
1738,840719975174283265
1739,155729641
1740,4617419783
1741,16320746
1742,2878132942
1743,810546571494494208
1744,1104163332943212544
1745,1158393038273691651
1746,232947633
1747,920163072
1748,226302371
1749,133447211
1750,350641724
1751,141262701
1752,1241810942557597697
1753,13516352
1754,1293238022394257409
1755,2352206084
1756,892185408150413312
1757,892382030754967556
1758,827886906671243264
1759,103870845
1760,362204802
1761,3009334558
1762,795699343655366656
1763,604864624
1764,2800294961
1765,1037097262856450048
1766,199650079
1767,282299453
1768,632450486
1769,4261090151
1770,702885044487135236
1771,272702668
1772,950497964446961666
1773,177732658
1774,1839615174
1775,1119732710
1776,9713242
1777,1329815728959139848
1778,383318876
1779,2385126518
1780,1278935140333490182
1781,175880008
1782,2238400063
1783,192067588
1784,229715682
